City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nhulunbuy,AU,-12.23,136.77,69.8,94,99,3.36,overcast clouds
1,Riyadh,SA,24.69,46.72,95.0,15,10,5.82,clear sky
2,Yumen,CN,40.28,97.2,62.6,27,100,6.06,overcast clouds
3,Barrow,US,71.29,-156.79,37.4,93,90,14.99,mist
4,Dogondoutchi,NE,13.64,4.03,84.65,61,49,6.15,scattered clouds
5,Albany,US,42.6,-73.97,70.0,90,100,7.25,overcast clouds
6,Panzhihua,CN,26.59,101.71,71.51,69,95,0.56,overcast clouds
7,Prince Albert,CA,53.2,-105.77,53.6,93,90,9.17,light intensity shower rain
8,Angoche,MZ,-16.23,39.91,75.18,73,72,13.13,broken clouds
9,Georgetown,MY,5.41,100.34,82.4,88,20,2.24,moderate rain
10,Namwala,ZM,-15.75,26.44,72.48,35,0,9.55,clear sky
11,Yulara,AU,-25.24,130.99,59.0,30,0,8.05,clear sky
12,Rikitea,PF,-23.12,-134.97,69.82,80,64,21.72,broken clouds
13,Kedrovyy,RU,56.17,91.82,55.4,82,40,4.47,scattered clouds
14,Hove,GB,50.83,-0.17,62.6,77,20,10.29,few clouds
15,Kavaratti,IN,10.57,72.64,79.66,85,100,17.58,light rain
16,Torbay,CA,47.67,-52.73,64.99,63,75,11.41,broken clouds
17,Busselton,AU,-33.65,115.33,55.99,52,100,12.68,overcast clouds
18,Bluff,NZ,-46.6,168.33,43.61,76,88,11.21,overcast clouds
19,Leningradskiy,RU,69.38,178.42,34.68,93,100,5.17,overcast clouds
20,Mataura,NZ,-46.19,168.86,36.19,82,99,2.93,overcast clouds
21,Punta Arenas,CL,-53.15,-70.92,46.0,70,75,14.99,broken clouds
22,Skibbereen,IE,51.55,-9.27,62.6,100,90,14.99,fog
23,Westport,US,41.14,-73.36,77.0,94,90,6.93,overcast clouds
24,Gallup,US,35.53,-108.74,82.4,14,1,8.05,clear sky
25,Betare Oya,CM,5.6,14.08,70.41,90,100,1.68,light rain
26,Lagoa,PT,39.05,-27.98,73.47,78,83,4.21,broken clouds
27,Hermanus,ZA,-34.42,19.23,57.0,95,100,10.0,overcast clouds
28,Butaritari,KI,3.07,172.79,82.0,79,0,15.57,clear sky
29,Marovoay,MG,-16.1,46.63,75.2,78,20,5.82,few clouds
30,Talnakh,RU,69.49,88.4,30.2,100,40,2.17,fog
31,Sitka,US,57.05,-135.33,53.6,93,90,8.05,heavy intensity rain
32,Mahebourg,MU,-20.41,57.7,69.8,94,20,3.36,few clouds
33,Radishchevo,RU,52.85,47.88,52.45,81,0,9.57,clear sky
34,Atuona,PF,-9.8,-139.03,79.11,77,8,22.44,clear sky
35,Udachnyy,RU,66.42,112.4,46.4,93,90,13.42,light intensity shower rain
36,Esperance,AU,-33.87,121.9,42.8,93,82,12.75,broken clouds
37,Karasburg,NA,-28.02,18.75,51.58,38,0,7.29,clear sky
38,Airai,TL,-8.93,125.41,58.51,78,11,3.62,few clouds
39,Nikolskoye,RU,59.7,30.79,57.99,76,14,8.95,few clouds
40,Cap Malheureux,MU,-19.98,57.61,71.01,79,0,5.01,clear sky
41,Luderitz,NA,-26.65,15.16,57.2,58,0,13.11,clear sky
42,Jalor,IN,25.35,72.62,81.57,76,99,5.84,overcast clouds
43,Saldanha,ZA,-33.01,17.94,59.0,87,0,10.29,light rain
44,Mittersill,AT,47.27,12.48,51.01,95,100,1.59,overcast clouds
45,Bethel,US,41.37,-73.41,73.99,100,90,4.7,overcast clouds
46,Buala,SB,-8.14,159.59,80.4,80,1,6.82,light rain
47,Narsaq,GL,60.92,-46.05,59.0,24,20,3.36,few clouds
48,Navirai,BR,-23.07,-54.19,84.31,49,0,7.29,clear sky
49,Shelton,US,41.32,-73.09,75.2,94,90,6.93,light rain
50,Mehamn,NO,71.04,27.85,53.6,76,93,6.93,overcast clouds
51,Verkhnevilyuysk,RU,63.45,120.32,54.39,77,100,6.44,light rain
52,Bengkulu,ID,-3.8,102.27,76.33,91,85,8.39,moderate rain
53,Rajec,SK,49.09,18.64,54.0,87,0,2.24,clear sky
54,Guarapari,BR,-20.67,-40.5,80.01,75,0,5.01,clear sky
55,Winnemucca,US,40.97,-117.74,86.0,16,1,3.67,clear sky
56,Gazojak,TM,41.19,61.4,76.84,19,0,10.67,clear sky
57,Dyurtyuli,RU,55.49,54.87,46.89,79,0,6.29,clear sky
58,Salalah,OM,17.02,54.09,78.8,94,75,4.7,broken clouds
59,Sao Filipe,CV,14.9,-24.5,77.0,83,73,12.84,broken clouds
60,Hithadhoo,MV,-0.6,73.08,82.04,75,100,10.6,overcast clouds
61,Arraial Do Cabo,BR,-22.97,-42.03,78.8,73,20,13.87,few clouds
62,Dikson,RU,73.51,80.55,41.59,84,0,11.48,clear sky
63,Coquimbo,CL,-29.95,-71.34,60.8,55,0,12.75,clear sky
64,Acapulco,MX,16.86,-99.89,86.0,66,5,8.05,clear sky
65,Adre,TD,13.47,22.2,71.62,80,100,6.33,light rain
66,Puerto Ayora,EC,-0.74,-90.35,77.0,57,40,20.8,scattered clouds
67,Bambanglipuro,ID,-7.95,110.28,75.34,85,95,1.86,overcast clouds
68,Marmande,FR,44.5,0.17,70.0,51,0,1.01,clear sky
69,New Norfolk,AU,-42.78,147.06,50.0,71,1,1.01,clear sky
70,Carnarvon,AU,-24.87,113.63,60.8,87,0,10.29,clear sky
71,Cape Town,ZA,-33.93,18.42,60.01,93,75,24.16,moderate rain
72,Matara,LK,5.95,80.54,78.26,86,95,8.61,overcast clouds
73,Kudahuvadhoo,MV,2.67,72.89,82.47,75,100,17.07,moderate rain
74,Kalabo,ZM,-14.97,22.68,76.93,33,13,5.57,few clouds
75,Cabo San Lucas,MX,22.89,-109.91,89.6,70,20,4.7,few clouds
76,Inhambane,MZ,-23.86,35.38,66.2,72,40,4.7,scattered clouds
77,Ahipara,NZ,-35.17,173.17,52.02,75,13,16.93,few clouds
78,Qaanaaq,GL,77.48,-69.36,30.81,83,0,3.91,clear sky
79,Castro,BR,-24.79,-50.01,72.54,63,0,8.52,clear sky
80,Chokurdakh,RU,70.63,147.92,36.99,90,100,9.8,overcast clouds
81,Tautira,PF,-17.73,-149.15,80.6,69,20,2.24,few clouds
82,Ushuaia,AR,-54.8,-68.3,39.2,67,75,0.81,broken clouds
83,Blagoyevo,RU,63.37,47.92,42.1,89,0,1.01,clear sky
84,Lavrentiya,RU,65.58,-171.0,40.28,77,100,9.89,overcast clouds
85,Kapaa,US,22.08,-159.32,81.0,69,40,10.29,scattered clouds
86,Okha,RU,53.57,142.95,53.73,92,100,2.75,overcast clouds
87,Kieta,PG,-6.22,155.63,78.53,76,33,3.31,scattered clouds
88,Oktyabrskiy,RU,54.48,53.47,47.1,80,0,6.71,clear sky
89,Chuy,UY,-33.7,-53.46,57.49,97,100,17.18,moderate rain
90,Iqaluit,CA,63.75,-68.51,42.8,87,75,20.8,broken clouds
91,Port Alfred,ZA,-33.59,26.89,64.51,76,37,6.62,scattered clouds
92,Ponta Do Sol,PT,32.67,-17.1,73.0,83,40,9.17,scattered clouds
93,Ambilobe,MG,-13.2,49.05,67.41,82,3,2.33,clear sky
94,Vaitape,PF,-16.52,-151.75,78.82,76,89,19.98,overcast clouds
95,Ossora,RU,59.24,163.07,46.33,74,100,0.96,overcast clouds
96,Brae,GB,60.4,-1.35,57.2,87,100,29.97,light rain
97,Bambous Virieux,MU,-20.34,57.76,71.01,94,20,3.36,few clouds
98,Eastbourne,GB,50.77,0.28,61.0,85,100,1.99,overcast clouds
99,Maravilha,BR,-26.76,-53.17,82.99,42,78,3.87,broken clouds
100,Guerrero Negro,MX,27.98,-114.06,79.56,57,0,11.3,clear sky
101,Flinders,AU,-34.58,150.86,66.0,55,1,4.0,clear sky
102,Jamestown,US,42.1,-79.24,75.99,94,90,8.05,light rain
103,Mount Gambier,AU,-37.83,140.77,48.2,93,75,11.41,light intensity shower rain
104,Abu Dhabi,AE,24.47,54.37,93.2,67,0,5.82,clear sky
105,Hilo,US,19.73,-155.09,77.0,73,90,9.17,overcast clouds
106,Jalu,LY,29.03,21.55,90.36,17,0,8.79,clear sky
107,Lubango,AO,-14.92,13.49,63.43,45,0,3.83,clear sky
108,Barcelona,ES,41.39,2.16,75.99,60,20,10.29,few clouds
109,Mayo,US,38.89,-76.51,87.01,74,40,9.17,scattered clouds
110,Mar Del Plata,AR,-38.0,-57.56,48.99,81,90,12.75,overcast clouds
111,Pinar Del Rio,CU,22.42,-83.7,89.94,63,0,10.45,clear sky
112,Arman,RU,59.7,150.17,46.15,81,1,4.63,clear sky
113,Shingu,JP,33.73,135.98,79.45,90,89,9.98,moderate rain
114,Mikuni,JP,36.22,136.15,86.0,62,75,3.36,broken clouds
115,Havoysund,NO,71.0,24.66,59.0,76,0,6.93,clear sky
116,Singkang,MY,2.1,102.8,78.8,94,20,2.24,few clouds
117,Ambon,ID,-3.7,128.18,77.0,94,75,5.82,light rain
118,Souillac,MU,-20.52,57.52,69.8,94,20,3.36,few clouds
119,Russkaya Polyana,UA,49.42,31.92,74.55,42,1,3.65,clear sky
120,Thompson,CA,55.74,-97.86,53.6,66,90,9.17,overcast clouds
121,Aklavik,CA,68.22,-135.01,46.4,100,90,2.24,mist
122,Yellowknife,CA,62.46,-114.35,48.2,66,75,9.17,broken clouds
123,Klaksvik,FO,62.23,-6.59,51.8,100,92,14.99,moderate rain
124,Paita,PE,-5.09,-81.11,73.4,53,1,24.16,clear sky
125,La Libertad,EC,-2.23,-80.9,75.2,73,20,11.41,few clouds
126,Avarua,CK,-21.21,-159.78,77.0,83,7,12.75,clear sky
127,Chapleau,CA,47.84,-83.4,68.0,49,40,14.99,scattered clouds
128,Wanning,CN,18.8,110.4,80.55,82,63,4.88,broken clouds
129,Vanimo,PG,-2.67,141.3,76.75,83,55,4.68,broken clouds
130,Cayenne,GF,4.93,-52.33,87.8,58,0,12.75,clear sky
131,Alofi,NU,-19.06,-169.92,73.4,100,96,3.36,overcast clouds
132,Ribeira Grande,PT,38.52,-28.7,77.0,78,75,10.29,broken clouds
133,Igarka,RU,67.47,86.58,46.83,76,15,6.31,few clouds
134,Quimper,FR,48.0,-4.1,64.4,77,0,5.82,clear sky
135,Launceston,AU,-41.45,147.17,50.0,93,75,9.17,light rain
136,Opuwo,NA,-18.06,13.84,65.64,26,0,7.49,clear sky
137,Manggar,ID,-2.88,108.27,80.2,84,100,6.38,overcast clouds
138,Sakaiminato,JP,35.55,133.23,87.8,58,75,16.11,broken clouds
139,Cidreira,BR,-30.18,-50.21,65.35,78,0,25.3,clear sky
140,Goure,NE,13.98,10.27,82.0,72,13,1.01,few clouds
141,Dickinson,US,29.46,-95.05,96.01,47,40,9.17,scattered clouds
142,Luoyang,CN,34.68,112.45,73.0,99,0,2.1,clear sky
143,Rovaniemi,FI,66.5,25.72,53.6,66,0,8.05,clear sky
144,Kavieng,PG,-2.57,150.8,81.88,74,7,5.1,clear sky
145,Hobart,AU,-42.88,147.33,52.0,71,0,12.75,clear sky
146,Vaini,TO,-21.2,-175.2,71.6,94,75,3.36,broken clouds
147,Pachino,IT,36.72,15.09,80.01,81,85,5.23,overcast clouds
148,Tasiilaq,GL,65.61,-37.64,42.8,56,75,8.05,broken clouds
149,Norman Wells,CA,65.28,-126.83,51.8,93,90,11.41,light rain
150,Ada,US,43.42,-116.13,86.0,28,1,6.13,clear sky
151,Hasaki,JP,35.73,140.83,79.0,100,20,6.93,few clouds
152,Bandarbeyla,SO,9.49,50.81,77.47,78,29,26.22,scattered clouds
153,Nampa,US,43.54,-116.56,87.01,30,1,2.1,clear sky
154,Voyskovitsy,RU,59.53,29.96,57.99,76,93,8.95,overcast clouds
155,Tiksi,RU,71.69,128.87,39.31,84,0,14.03,clear sky
156,Bria,CF,6.54,21.99,67.62,97,100,2.39,overcast clouds
157,Zhezkazgan,KZ,47.8,67.71,74.55,20,0,6.67,clear sky
158,Cherskiy,RU,68.75,161.3,35.11,86,3,7.16,clear sky
159,Myitkyina,MM,25.38,97.4,76.6,79,95,0.67,overcast clouds
160,Port Elizabeth,ZA,-33.92,25.57,57.2,87,0,3.36,clear sky
161,Aden,YE,12.78,45.04,89.58,54,0,5.66,clear sky
162,Peniche,PT,39.36,-9.38,75.0,66,0,5.01,clear sky
163,Tromso,NO,69.65,18.96,55.4,66,98,18.34,overcast clouds
164,Provideniya,RU,64.38,-173.3,40.26,77,85,3.91,overcast clouds
165,Evans,US,33.53,-82.13,95.0,52,40,9.17,scattered clouds
166,El Alto,PE,-4.27,-81.21,73.4,53,2,24.16,clear sky
167,Corrente,BR,-3.74,-43.34,95.92,28,0,4.03,clear sky
168,Novovarshavka,RU,54.17,74.69,71.44,53,9,12.46,clear sky
169,Komsomolskiy,UZ,40.43,71.72,71.6,64,52,2.24,broken clouds
170,Broome,US,42.25,-75.83,73.0,94,90,12.75,overcast clouds
171,Mikhaylovsk,RU,45.13,42.03,77.0,36,100,11.18,overcast clouds
172,Chesma,RU,53.81,60.65,51.55,76,18,14.47,few clouds
173,Spasskoye,RU,44.61,132.8,65.79,97,100,7.34,light rain
174,Siverek,TR,37.76,39.32,86.0,22,36,14.99,scattered clouds
175,Den Helder,NL,52.96,4.76,61.0,72,40,1.12,scattered clouds
176,Tevriz,RU,57.51,72.4,54.86,95,100,15.57,heavy intensity rain
177,Gerash,IR,27.67,54.14,91.4,26,0,6.93,clear sky
178,Sambava,MG,-14.27,50.17,70.14,78,11,12.82,few clouds
179,Karratha,AU,-20.74,116.85,71.53,24,100,6.76,overcast clouds
180,Nome,US,64.5,-165.41,46.99,81,75,13.87,broken clouds
181,Sur,OM,22.57,59.53,83.43,60,0,9.89,clear sky
182,Chapais,CA,49.78,-74.85,57.2,93,90,3.36,light rain
183,Faanui,PF,-16.48,-151.75,77.95,78,90,20.07,overcast clouds
184,Ribeira Brava,PT,32.65,-17.07,73.0,83,40,9.17,scattered clouds
185,Hohhot,CN,40.81,111.65,46.4,81,0,2.24,clear sky
186,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,74.68,83,95,14.03,light rain
187,Mae Sai,TH,20.43,99.88,77.0,100,7,4.7,clear sky
188,Rudbar,AF,30.15,62.6,76.17,18,0,9.42,clear sky
189,Otradnoye,RU,59.78,30.82,57.99,76,19,8.95,few clouds
190,Lompoc,US,34.64,-120.46,68.0,72,75,11.41,broken clouds
191,Port Lincoln,AU,-34.73,135.87,55.45,75,3,23.13,clear sky
192,Fonte Boa,BR,-2.5,-66.27,90.45,53,96,1.28,overcast clouds
193,Homer,US,59.64,-151.55,53.6,87,90,1.99,light rain
194,Tanete,ID,-3.94,119.78,76.14,85,99,5.01,heavy intensity rain
195,Fortuna,US,40.6,-124.16,62.6,82,20,6.93,few clouds
196,Shu,KZ,43.6,73.76,79.39,26,99,4.63,overcast clouds
197,Naron,ES,43.52,-8.15,66.99,82,0,9.37,clear sky
198,Ponta Delgada,PT,37.73,-25.67,77.0,69,75,11.41,broken clouds
199,Clyde River,CA,70.47,-68.59,44.6,75,75,2.24,broken clouds
200,Calama,CL,-22.47,-68.93,69.8,9,0,20.8,clear sky
201,Baykit,RU,61.67,96.37,47.34,87,36,6.98,scattered clouds
202,San Policarpo,PH,12.18,125.51,79.7,85,100,5.14,overcast clouds
203,Chumikan,RU,54.72,135.31,52.79,95,100,6.8,overcast clouds
204,East London,ZA,-33.02,27.91,66.2,72,9,8.05,clear sky
205,Isangel,VU,-19.55,169.27,66.2,72,40,18.23,scattered clouds
206,Dawei,MM,14.08,98.2,77.43,85,76,1.5,broken clouds
207,Mehran,IR,33.12,46.16,75.2,38,40,6.93,scattered clouds
208,Bredasdorp,ZA,-34.53,20.04,60.8,72,2,17.22,clear sky
209,Portland,US,45.52,-122.68,81.0,57,1,3.36,clear sky
210,North Bend,US,43.41,-124.22,80.01,82,1,11.41,clear sky
211,Bagotville,AU,-28.98,153.42,62.6,93,75,3.02,broken clouds
212,Lagos,NG,6.58,3.75,75.76,90,96,5.73,overcast clouds
213,Noumea,NC,-22.28,166.46,66.2,59,90,11.41,overcast clouds
214,Tuatapere,NZ,-46.13,167.68,40.42,80,36,5.53,scattered clouds
215,Banda Aceh,ID,5.56,95.32,80.15,72,100,6.26,overcast clouds
216,Katherine,AU,-14.47,132.27,69.8,56,6,3.44,clear sky
217,Makakilo City,US,21.35,-158.09,82.0,65,75,5.82,broken clouds
218,Kruisfontein,ZA,-34.0,24.73,54.46,55,0,4.12,clear sky
219,Saint George,US,37.1,-113.58,87.8,15,1,2.62,clear sky
220,Severo-Kurilsk,RU,50.68,156.12,54.36,77,100,10.07,overcast clouds
221,Swellendam,ZA,-34.02,20.44,60.8,72,100,16.11,overcast clouds
222,Forbes,AU,-33.38,148.02,58.44,61,10,19.22,clear sky
223,Puerto Leguizamo,CO,-0.19,-74.78,94.17,41,7,3.02,clear sky
224,Svetlogorsk,BY,52.63,29.73,71.6,73,100,11.97,overcast clouds
225,Kukushtan,RU,57.65,56.5,46.4,87,0,4.47,clear sky
226,Buchanan,LR,5.88,-10.05,78.8,88,75,4.7,broken clouds
227,Saint-Philippe,RE,-21.36,55.77,68.0,68,23,6.93,few clouds
228,Chuguyevka,RU,44.17,133.86,64.94,92,100,3.91,overcast clouds
229,Wawa,NG,9.9,4.42,74.91,92,93,1.03,overcast clouds
230,Novopokrovka,UA,49.84,36.55,77.0,27,0,8.95,clear sky
231,Beringovskiy,RU,63.05,179.32,46.65,58,0,3.42,clear sky
232,San Patricio,MX,19.22,-104.7,89.6,66,5,5.82,clear sky
233,Kaitangata,NZ,-46.28,169.85,43.0,71,93,4.0,overcast clouds
234,Marrakesh,MA,31.63,-8.01,91.4,17,20,9.17,few clouds
235,Tunceli,TR,39.11,39.55,75.2,38,40,9.17,scattered clouds
236,Iseyin,NG,7.97,3.6,73.85,91,37,5.37,moderate rain
